cas_number,chemical_id,name,substance,other_name,brand,package_size,storage_location,molecular_weight,density (g/mL),state
106-49-0,590,p-Toluidine,对甲苯胺,,安耐吉,100g,3-5,107.15,0.973,solid
1066-54-2,591,Trimethylsilylacetylene,三甲基硅乙炔,,adamas;毕得,100g;25g,3-2;R7,98.22,0.695,liquid
106685-40-9,592,adapalene,阿达帕林,,adamas,1g,3-2,412.52,1.233,solid
1067-87-4,593,Diethyl Allylphosphonate,烯丙基磷酸二乙酯,,adamas,5ml,3-4,178.17,1.035,liquid
106-93-4,594,"1,2-Dibromoethane","1,2-二溴乙烷",,安耐吉,25g,1-3,187.86,2.18,liquid
106-94-5,595,1-Bromopropane,1-溴丙烷,,安耐吉,25g,1-3-1,122.99,1.354,liquid
106-95-6,596,Allyl bromide,3-溴丙烯,,adamas,25g,3-4,120.98,1.398,liquid
106-99-0,597,"1,3-Butadiene","1,3-丁二烯",,安耐吉,100ml,R3;R9,54.09,0.62,liquid
107-02-8,598,Acrolein,丙烯醛,,安耐吉,25ml,R8,56.063,0.8,liquid
107-05-1,599,Allyl chloride,氯丙烯,,adamas,100ml,R3,76.52,0.939,liquid
1070663-78-3,600,"2-(Dicyclohexylphosphino)-3,6-dimethoxy-2'-4'-6'-tri-i-propyl-1,1'-biphenyl, min. 98% BrettPhos","2-(二环己基膦)-3,6-二甲氧基-2'-4'-6'-三-I-丙基-11'-联苯",,毕得,5g,gR,536.77,,solid
1070-89-9,601,Sodium bis(trimethylsilyl)amide,双(三甲基硅烷基)氨基钠,,adamas;百灵威,100ml,R5,183.37,0.904,solid
107-13-1,602,Acrylonitrile,丙烯腈,,adamas,100ml,R6,53.06,0.806,liquid
107-21-1,603,Ethyleneglycol,乙二醇,,安耐吉,500ml,4-2b,62.07,1.113,liquid
1072-63-5,604,1-Vinylimidazole,1-乙烯基咪唑,,adamas,5g,4-2-3,94.11,1.039,solid
1073-67-2,605,4-Chlorostyrene,对氯苯乙烯,,毕得,25g,R8,138.59,1.155,liquid
1074-82-4,606,Potassium phthalimide,邻苯二甲酰亚胺钾,,adamas,100g,4-2-2,186.23,1.63,solid
1075-49-6,607,4-Vinylbenzoic Acid,4-乙烯基苯甲酸,,adamas,1g,1-4-5,148.16,1.3,solid
107-58-4,608,N-tert-butylacrylamide,N-叔丁基丙烯酰胺,,adamas,25g,R1,127.18,1.0083,solid
107-59-5,609,tert-Butyl chloroacetate,氯乙酸叔丁酯,,安耐吉,25g,1-2-1,150.6,1.053,liquid
1076-96-6,610,Methyl 4-vinylbenzoate,4-乙烯基-苯甲酸甲酯,,adamas,1g,3-4,162.19,1.058,solid
107-85-7,611,Isopentylamine,异戊胺,,adamas,5ml,3-5,87.16,0.751,liquid
107-93-7,612,Crotonic Acid,巴豆酸,,adamas,1g,L6,86.09,1.027,solid
107-95-9,613,β-Alanine,β-丙氨酸,,adamas,25g,1-4-3,89.09,1.437,solid
107-96-0,614,3-Mercaptopropionic acid,3-巯基丙酸,,adamas,25g,3-3B,106.14,1.218,liquid
1079-66-9,615,Chlorodiphenylphosphine,二苯基氯化膦,,毕得,5g,3-3,220.63,1.229,liquid
108-03-2,616,1-Nitropropane,1-硝基丙烷,,adamas;安耐吉,0;500ml,2-2A;4-3C,89.09,0.998,liquid
1080-44-0,617,N-P-TOSYLgLYCINE,N-对甲苯磺酰基甘氨酸,,adamas,5g,1-4-2,229.25,1.369,solid
108-05-4,618,Vinyl acetate,乙酸乙烯酯,,安耐吉,100ml,3-4,86.09,0.934,liquid
108078-14-4,619,2-Iodo-3-methylbenzoic acid,2-碘-3-甲基苯甲酸,,adamas,25g;5g,1-2-3;1-4-3,262.04,1.867,solid
108-18-9,620,Diisopropylamine,二异丙胺,,百灵威;安耐吉,500ml,3-1A;3-5,101.19,0.722,liquid
108-21-4,621,Isopropyl acetate,醋酸异丙酯,,安耐吉,100ml,gL,102.13,0.872,liquid
108-22-5,622,Isopropenyl Acetate,乙酸异丙烯酯,,安耐吉,100ml,2-4,100.12,0.909,liquid
108-29-2,623,纬-Valerolactone,γ-戊内酯,,adamas,500g,4-3C,100.12,1.05,liquid
108-31-6,624,Maleic anhydride,马来酸酐,,adamas,100g,2-4,98.06,1.48,solid
108-32-7,625,Propylene carbonate,碳酸丙烯酯,,adamas,100ml,3-5B,102.09,1.204,liquid
